date,title,sentiment_label,sentiment_score
2010-02-26,"Citigroup To Revamp Its Board (C, ATT, XRX, AA, PG)",Positive,1
2010-02-28,"Companies That Could Benefit From Investing In Smarter Electricity Grid (CSCO, GOOG, MSFT, IBM, DUK ",Positive,1
2010-03-02,Freeport McMoran Could be Primed to Move,Positive,1
2010-03-03,"Stocks That Created New 52-Week Highs (COMS, ACGY, ACOR, ACTL, ADVS)",Negative,-1
2010-03-05,Goldman Sachs (GS) VIP List of Top Hedge Fund Holdings,Positive,1
2010-03-06,"Corporate Charity Gets Hit By Economic Woes (KO, MET, XOM, WMT, GE, WFC, CAT, AA)",Neutral,0
2010-03-08,"Stock Market News for March 8, 2010 - Market News",Positive,1
2010-03-10,BRKR Buys VARI’s Assets; Deal To Be Accretive In 2010-11,Negative,-1
2010-03-11,The Health Care Reform Bill: Welcome To The Biggest Tax Increase In U.S. History,Negative,-1
2010-03-15,"NY Empire Manufacturing Index Drops (AA, X)",Neutral,0
2010-03-16,"Fast Money Picks For March 17th (AA, WDC, AMR, GE)",Positive,1
2010-03-17,"Dow Jones Climbs To Highest Level Since October 2008 (BLK, AA, MEE, F, HIG)",Negative,-1
2010-03-18,"Fast Money Picks For March 19th (AA, MYL, TJX, UNG)",Positive,1
2010-03-19,"Rio Tinto Signs A Pact With Chinalco (RTP, ACH, BHP)",Negative,-1
2010-03-21,How Will Obama-Care Play Into The Markets And ETFs?,Positive,1
2010-03-22,Investors Flock To Healthcare ETFs On Historic Reform,Positive,1
2010-03-23,IBD Takedown of the Health Insurance Law,Neutral,0
2010-03-24,"Benzinga’s Volume Movers (CBPO, FUQI, RDWR, AFFY, ADBE)",Positive,1
2010-03-25,"Stock Market News for March 25, 2010 - Market News",Positive,1
2010-03-26,"Next Week: Jobs, Jobs, Jobs - Earnings Preview",Positive,1
2010-03-29,Rating Cut on Ambac - Analyst Blog,Neutral,0
2010-03-30,"Top 5 Large-Cap Stocks In The Gold Industry With The Highest Dividend (ABX, NEM, AU, GG, KGC)",Positive,1
2010-03-31,"The Dow Dogs Of Q1 (AA, T, VZ, PFE, MSFT)",Positive,1
2010-04-01,"FedEx And Alcoa Gain Favor: CNBC (FDX, AA, X)",Positive,1
2010-04-03,Alcoa Cuts Stake With Saudi Partner (AA),Neutral,0
2010-04-05,Earnings Season Is Coming (AA),Positive,1
2010-04-06,"Company News for April 6, 2010 - Corporate Summary",Positive,1
2010-04-07,Options Trading Ideas in Fifth Third Bancorp (FITB): a Bull Put Spread and a Bear Put Spread,Positive,1
2010-04-08,"Stock Market News for April 8, 2010 - Market News",Positive,1
2010-04-09,Tim Seymour Likes Alcoa (AA) Ahead Of Earnings,Positive,1
2010-04-12,Alcoa (AA) Reports First-Quarter Results,Positive,1
2010-04-13,Market Analysis From A Traders Eye As Earnings Take Center Stage,Positive,1
2010-04-14,Alcoa Bottomed Out?,Positive,1
2010-04-15,S&P Raised Alcoa (AA) to Buy From Hold,Positive,1
2010-04-16,"Stock Market News for April 16, 2010 - Market News",Positive,1
2010-04-19,Why Aren’t Markets Rallying Despite Better-Than-Expected Results?,Positive,1
2010-04-20,US Stocks Open Higher On Earnings Beat,Negative,-1
2010-04-21,Put Spread Trading Strategies in Southwest Airlines (LUV),Positive,1
2010-04-22,"Benzinga’s Top Upgrades (AA, AAI, VIA-B, GMCR, GENZ)",Positive,1
2010-04-23,"Stocks That Crossed 52-Week Highs (AAON, BECN, CADE, CCBG, CMRG)",Positive,1
2010-04-26,Aaron’s (AAN) Reports $37 Million In First-Quarter Profit,Positive,1
2010-04-27,A Bull Call Spread and a Synthetic Short Play in Polycom (PLCM) Options,Positive,1
2010-04-28,Dawn Rises After The Blood Bath Yesterday Ahead Of Federal Reserve,Positive,1
2010-04-29,"Investment Analysis: The Penn Miller Holding Corporation (PMIC) – A Classic Low-Risk, High-Return Sp",Negative,-1
2010-04-30,Call Trading in Barrick Gold (ABX): A Bullish Bet on the Yellow Metal?,Positive,1
2010-05-03,"Australian ""Super Tax"" Slams Materials (FCX, X, AA, RTP)",Positive,1
2010-05-04,Vidaroo Reports Creating Video Imagery and Background for “Idol Gives Back” Performance of Black Eye,Positive,1
2010-05-05,"Stock Market News for May 5, 2010 - Market News",Positive,1
2010-05-06,"What Bull Market? (DIA, FCX, AA, X)",Positive,1
2010-05-07,ABB Initiated With Buy At ING Group,Positive,1
2010-05-10,"Mad Money Lightning Round: Stick To CRM, Says Jim (TKLC, AA, CRM, F)",Positive,1
2010-05-11,"Vidaroo Corporation (Formerly Gen2Media Corporation) and NARM, the Music Business Association, Partn",Positive,1
2010-05-12,"US Stocks End Lower Yesterday After Soaring On Monday, Dow And S&P Down, Nasdaq Bucks Trend",Neutral,0
2010-05-13,"Aluminum Companies Rise On Chinese Power Tariff (AA, CENX, DJI)",Negative,-1
2010-05-14,"US Stocks Tumbled Yesterday, Led By The Consumer-Discretionary Sector",Neutral,0
2010-05-17,Agilent Technologies (A) Down 2% Despite Strong Results,Neutral,0
2010-05-18,Agilent Technologies Inc. (A) All Set To Test Support Level at 200 Day MA,Positive,1
2010-05-19,"Mad Money Lightning Round OT: Cramer Gives His Opinion On AMKR, TER, A, CML, CSCO, MGM, WYNN",Positive,1
2010-05-20,Vidaroo Corporation is Back in Black According to Live Design Magazine,Positive,1
2010-05-21,Looking at FedEx Options Strategies After an Upgrade,Positive,1
2010-05-24,Fitch Revises Agilent Outlook,Positive,1
2010-05-25,"Metals Signaling Reversal? (XME, X, FCX, AA)",Positive,1
2010-05-26,Alcoa Upgraded (AA),Negative,-1
2010-05-28,"Contracts Talks Underway Between Alcoa, USW (AA)",Negative,-1
2010-06-01,JP Morgan (JPM) Resumes Coverage Of Agilent Technologies Inc. (A) With Neutral Rating,Positive,1
2010-06-02,Dollar Firms Up 06-01-2010,Negative,-1
2010-06-03,"Late Market Roundup (DFT, AA, XOI, XNG, BBY, GS)",Positive,1
2010-06-04,Puts Purchased on Advanced Auto Parts (AAP),Positive,1
2010-06-07,Don't Fight the Trend 06-07-2010,Positive,1
2010-06-08,Vidaroo Corporation Announces the Vidaroo Affiliate Sales Program and Signs Its Initial Group of Aff,Positive,1
2010-06-09,Gold is on a Tear Again…,Neutral,0
2010-06-10,US Stock Futures Strengthen On Positive Jobless Claims Data,Negative,-1
2010-06-14,Floods Force Alcoa To Idle Smelter (AA),Neutral,0
2010-06-15,Large Block of Calls Trade in Aloca (AA),Positive,1
2010-06-16,Here Come the Earnings…,Positive,1
2010-06-17,Goldman Sachs Positive on AnerisourceBergen; Reiterates Buy Rating (ABC),Negative,-1
2010-06-18,"Stock Market News for June 18, 2010 - Market News",Positive,1
2010-06-20,Alcoa CEO Sees Strong Demand In 2010 (AA),Negative,-1
2010-06-21,Summer Camps 06-21-2010,Positive,1
2010-06-22,Some Positioning Ahead Data 06-22-2010,Positive,1
2010-06-23,"Materials Stocks Signaling Weakness (AA, FCX, X)",Neutral,0
2010-06-24,Likely Market Direction For The Coming Weeks And Q4,Positive,1
2010-06-25,"Mad Money Lightning Round OT (SOLF, FCN, ACN, BPFH, JPM)",Positive,1
2010-06-27,"June 28, 2010: 11 Service Sector Micro-Cap Growth Ideas",Negative,-1
2010-06-28,"Materials Signaling Weak Recovery (AA, FCX, X)",Neutral,0
2010-06-29,"Stock Market News for June 29, 2010 - Market News",Positive,1
2010-06-30,Dendreon Plunging After Hours (DNDN),Neutral,0
2010-07-01,"Stock Market News for July 1, 2010 - Market News",Positive,1
2010-07-02,"Market Closes Lower Ahead of July 4th Holiday (SPY, AA, VIX, BIIB, SNY, GENZ)",Neutral,0
2010-07-06,Is Alcoa a Buy Ahead of Earnings? (AA),Positive,1
2010-07-07,I Love This Game 07-07-2010,Positive,1
2010-07-08,"Stocks To Watch For July 8 (GBX, NUHC, EMC, AA)",Positive,1
2010-07-09,Investors Bearish About Health Care Sector: Alcoa Retains Buy Rating (AA),Neutral,0
2010-07-10,"Is The Risk-Trade Back On? (CAT, AA, FCX)",Positive,1
2010-07-11,"Stocks To Watch Monday (AA, CSX, NVLS)",Positive,1
2010-07-12,"ALCOA REPORTS IN-LINE EPS, MISSES REVENUES",Positive,1
2010-07-13,"Fast Money Picks For July 14th (AA, KSU, FCX, HPQ)",Positive,1
2010-07-14,Market Waiting On JPM Earnings 07-14-2010,Positive,1
2010-07-15,"Dollar Weakens...And So Do Commodities (FCX, X, AA)",Neutral,0
2010-07-16,Does Morningstar Finally Understand ETFs? No They Don't,Positive,1
2010-07-18,Coming Week:3 Key Market Drivers July 19th -23rd Abridged Version,Positive,1
2010-07-19,Hapoalim Securities Downgrades Acorda Therapeutics to Hold (ACOR),Positive,1
2010-07-20,July is Getting Bumpy,Neutral,0
2010-07-21,"Top 4 Stocks In The Aluminum Industry With The Highest Gross Margin (KALU, AA, ACH, NOR)",Negative,-1
2010-07-22,Advanced Auto Parts May Be Drawing New Private Equity Interest,Positive,1
2010-07-23,"Benzinga's Top ETF Decliners (TZA, TWM, MWN, SMN)",Positive,1
2010-07-25,Top Nanotechnology Stocks,Positive,1
2010-07-26,Arch Capital Beats Earnings Estimates (ACGL),Positive,1
2010-07-27,"Small-Caps, Mid-Caps, & Commodities Hitting 200 MA Resistance 07-27-2010",Negative,-1
2010-07-28,ABC Is Well-Levered To The Generic Wave,Negative,-1
2010-07-29,Calls Purchased on ABB Ltd. (ABB),Positive,1
2010-07-30,"Home Depot, Alcoa Bolster Dow (HD, AA, DJIA, CENX)",Positive,1
2010-08-02,"Materials Stocks On Fire (CLF, FCX, AA, X)",Positive,1
2010-08-03,Launch Of Real Estate Alternatives To Further Boost AB’s Flows,Negative,-1
2010-08-04,American Capital Lags Estimates - Analyst Blog,Neutral,0
2010-08-05,Kinross Reports In-Line - Analyst Blog,Positive,1
2010-08-06,"Market Paring Losses (DJIA, SPX, X, AA, FCX)",Neutral,0
2010-08-09,"Materials Stocks Posting Early Gains (CLF, X, AA)",Negative,-1
2010-08-10,"Materials Stocks Pounded On Weak Chinese Import Data (AA, CLF, FCX, X)",Neutral,0
2010-08-11,"Stock Market News for August 11, 2010 - Market News",Positive,1
2010-08-12,"Stock Market News for August 12, 2010 - Market News",Positive,1
2010-08-13,Two Large Call Trades in Alcoa (AA),Positive,1
2010-08-16,Agilent Technologies Reports Third Quarter Results (A),Positive,1
2010-08-17,Cautious on Agilent After 3Q Results - Analyst Blog,Positive,1
2010-08-18,"What Spot Prices In The Base Metals Are Telling Us (JJC, FCX, ACH, AA, VALE)",Positive,1
2010-08-19,"Stocks In Freefall (DJIA, SPX, GE, AA, CSX, ETH)",Positive,1
2010-08-20,Rio Tinto Says Its Open To More China Ventures,Positive,1
2010-08-23,"What Is The Best Aluminum Stock? (KALU, AA, ACH, JJU, CENX)",Positive,1
2010-08-24,"Is The Shiny Stuff Signaling Quantitative Easing? (GLD, AUY, ABX)",Positive,1
2010-08-25,Agilent Technologies Favored At Jefferies (A),Positive,1
2010-08-26,JDS Uniphase Misses by a Penny - Analyst Blog,Neutral,0
2010-08-27,Emerson Launches New Laptops - Analyst Blog,Positive,1
2010-08-30,"Hewlett-Packard, Alcoa Leading Dow (DJIA, BAC, JPM, AXP, HPQ, AA)",Positive,1
2010-08-31,Metals and Mining Review - Sept. 2010 - Industry Outlook,Positive,1
2010-09-01,"Dahlman Rose Initiates Coverage of AAWW, AYR, ATSG",Positive,1
2010-09-02,Gold Rushing on Into Autumn,Positive,1
2010-09-03,Almaden Minerals Ltd.: Ixtaca Drilling to Recommence (AAU),Positive,1
2010-09-06,Kabul Bank: When They Don’t Fear the Regulators Enough to Even Hide the Abuses,Positive,1
2010-09-07,AnchorBank Announces Conditional Approval of Capital Restoration Plan,Positive,1
2010-09-08,EMRISE Corporation Relocating Corporate Headquarters (ERI),Positive,1
2010-09-09,"Stock Market News for September 9, 2010 - Market News",Positive,1
2010-09-10,10 Stocks With Fastest Dividend Growth,Positive,1
2010-09-13,The Big Bang Leads to the Big Whimper (aka: Basel III),Positive,1
2010-09-14,Alcoa Joins Forces with Textron - Analyst Blog,Negative,-1
2010-09-15,Gold Stocks Trading September 15th; Gold Rush is on for KINROSS (NYSE:KGC)(TSX:K),Positive,1
2010-09-16,Calls Purchased on Aloca (AA),Positive,1
2010-09-17,Cardinal Sells CareFusion Shares - Analyst Blog,Positive,1
2010-09-20,Financial Regulatory Success under Bush and Obama?,Positive,1
2010-09-21,"Benzinga's Volume Movers (AAWW, NICE, SCOR, ROVI)",Positive,1
2010-09-22,Earnings Miss 09-22-2010,Positive,1
2010-09-23,"BTDStocks.com Thursday, September 23, 2010 End-Of-Day Update",Positive,1
2010-09-24,"Commodities Flying Higher Today (BHP, SLB, AA, FCX)",Negative,-1
2010-09-25,ABB Wins Contract - Analyst Blog,Positive,1
2010-09-27,Alcoa Defense Wins Contract to Supply Austal Sheet and Plate (AA),Negative,-1
2010-09-28,Earnings Watch: Stocks Under $5,Neutral,0
2010-09-29,"Top 4 Stocks In The Asset Management Industry With The Highest Operating Margin (SILU, AB, GBDC, KFN",Negative,-1
2010-09-30,"Late Market Roundup (IFNNY, ABX, GG, AMD, BRCM, SNDK)",Positive,1
2010-10-01,Alcoa Announces Third Quarter 2010 Dividend,Positive,1
2010-10-03,Biogen Cut to Neutral - Analyst Blog,Positive,1
2010-10-04,Mixed Signals Everywhere!,Neutral,0
2010-10-05,Thirty-Five Trillion Yen Tuesday,Positive,1
2010-10-06,Deutsche Bank Initiates Buy Rating on Agilent Technologies (A),Positive,1
2010-10-07,Deutsche Bank Opens Agilent With Buy,Positive,1
2010-10-08,"Friday's Mid-day Options Volume Leaders (AAPL, AA, C, JCP, ADBE)",Positive,1
2010-10-11,"Looking for Good Data, but Not Too Good",Positive,1
2010-10-12,Upside Purchased on Agilent Technologies (A),Positive,1
2010-10-13,AllianceBernstein Lowers Estimates And Target After September AUM,Positive,1
2010-10-15,Long-Term Inflation Fighters 10-15-2010,Positive,1
2010-10-18,"Futures Down Ahead of Citi, IBM Earnings",Neutral,0
2010-10-19,Market Watchers See QE Priced Into Market 10-19-2010,Positive,1
2010-10-20,"Stock Market News for October 20, 2010 - Market News",Positive,1
2010-10-21,Zacks #5 Rank Additions for Thursday - Tale of the Tape,Positive,1
2010-10-22,"World Stock Markets Daily Report (October 22, 2010)",Positive,1
2010-10-25,"Alcoa's Fastener Successfully Completes 20,000-Mile Test",Negative,-1
2010-10-26,Alcoa Defense Awarded Contracts for Aluminum Tie Downs,Negative,-1
2010-10-27,Alcoa Aluminum Wheels Selected for Ferrari 458 Italia,Positive,1
2010-10-28,"Stifel Nicolaus Upgrades (A, GG)",Positive,1
2010-10-29,Market Tricks or Treats 10-29-2010,Positive,1
2010-11-01,Upbeat Manufacturing Reports Fire Up Markets,Negative,-1
2010-11-02,"Tuesday's Mid-day Options Volume Leaders (BAC, AAPL, C, LVS, POT)",Positive,1
2010-11-03,"Stock Market News for November 3, 2010 - Market News",Positive,1
2010-11-04,American Campus Communities Announces Quarterly Dividend of $0.3375 Per Share,Positive,1
2010-11-05,Atlantic American Corporation Reports Third Quarter EPS Of $.02,Positive,1
2010-11-08,Agilent Technologies and Harvard's Wyss Institute Announce Collaboration,Positive,1
2010-11-09,"Metals Crashed (FCX, BHP, AA)",Positive,1
2010-11-10,Seven steps to Social Security cuts prophecy,Positive,1
