date,title,sentiment_label,sentiment_score
2011-11-15,Agilent Technologies Sees Profit Slip,Negative,-1
2011-11-16,Goldman Sachs Raises Agilent Technologies PT,Positive,1
2011-12-01,Agilent Technologies Grows Life Sciences Business With Strategic Acquisition; Terms Not Disclosed,Positive,1
2011-12-15,"Credit Suisse Reiterates Outperform, $46 on Agilent",Neutral,0
2011-12-16,FiberTower Announces Receipt of Nasdaq Listing Compliance Notice and Events of Default on Convertibl,Positive,1
2011-12-20,"Short Sellers: ""Freedom of Information Act Request Uncovers Pending or Prospective SEC Law Enforceme",Positive,1
2011-12-21,Agilent Technologies Expands Vacuum Products Portfolio with Acquisition of Pump Maker P.V.R.,Negative,-1
2011-12-22,Kingtone Wirelessinfo Solution Holding Receives NASDAQ Notification of Non-Compliance with Minimum B,Neutral,0
2011-12-28,Notable Put Options Activity on Agilent Technologies,Positive,1
2012-01-04,JP Morgan Adds Agilent Technologies to Analyst Focus List,Positive,1
2012-01-06,VirtualScopics Announces Receipt of Notice from Nasdaq,Positive,1
2012-01-09,Orckit Announces Receipt of Nasdaq Delisting Notice; Intends to Request Hearing to Appeal Decision,Positive,1
2012-01-10,Receives NYSE Non-Compliance Letter,Positive,1
2012-01-18,Deutsche Bank Maintains Buy on Agilent After Dividend Announcement,Positive,1
2012-01-23,UPDATE: Successfactors Says Received Cfius Notification of Investigation,Positive,1
2012-01-31,Guanwei Recycling Corp. Receives Nasdaq Letter Regarding Non-Compliance With Minimum Bid Price Rule,Neutral,0
2012-02-12,Earnings Expectations for the Week of February 13,Positive,1
2012-02-13,Eppendorf Licenses Technology for Thermal Cyclers to Agilent,Positive,1
2012-02-15,Agilent Technologies Falls 7% After-Hours,Neutral,0
2012-02-16,"Jefferies Reiterates Buy, $60 Target on Agilent Technologies",Positive,1
2012-03-05,"Morning Social Media Outlook for Mon Mar 5 (LNKD, C, A, AGNC)",Positive,1
2012-03-06,"Morgan Stanley Initiates Coverage on Agilent Technologies at Overweight, Announces PT of $54",Negative,-1
2012-03-12,"Morning Social Media Outlook for Monday March 12 (ZOLL, SBUX, A, T)",Positive,1
2012-03-26,"Morning Social Media Outlook for Monday March 26 (LGF, A, H, YHOO)",Positive,1
2012-04-05,Stock Act: Penalty Does NOT Fit the Crime,Positive,1
2012-04-09,Discover Financial Services Commences Exchange Offers for Outstanding Senior Notes Due 2019 and 2017,Positive,1
2012-04-11,"Seagate, SAP and Other Top European Tech Stocks",Positive,1
2012-04-19,UPDATE: Stifel Nicolaus Raises PT to $52 on Agilent Technologies,Negative,-1
2012-04-27,"Agilent Technologies, Centellax Announce Agilent Will Acquire Centellax's Test and Measurement Busin",Positive,1
2012-05-14,Agilent Tech Guides FY EPS $3.18-3.24 vs $3.19 Est; Guides FY Revenue $6.94-7B vs $6.95B Est; Guides,Negative,-1
2012-05-15,UPDATE: Stifel Nicolaus Increases PT to $54 on Agilent Technologies; FQ2 Beat; Guidance,Negative,-1
2012-05-17,"Benzinga's M&A Chatter for Thursday May 17, 2012",Positive,1
2012-06-15,"UPDATE: Citigroup Initiates Agilent Technologies with Buy, $46 PT on Favorable Outlook",Negative,-1
2012-06-18,"Social Media Outlook for Monday June 18 (BKS, A, INFI, DSW)",Positive,1
2012-07-03,5 Scientific & Technical Instruments Stocks With The Highest Revenue,Positive,1
2012-07-05,"Social Media Outlook for Thursday July 5 (ED, NLY, A, FB)",Positive,1
2012-07-09,"Social Media Outlook for Monday July 9 (WLP, AGP, V, AA)",Positive,1
2012-07-10,"UPDATE: ISI Group Initiates Agilent with Overweight, $46.50 PT on Attractive Leverage to Mega-Trends",Negative,-1
2012-07-16,Agilent Technologies Signs Agreement to Acquire AT4 wireless' Test Systems Business,Negative,-1
2012-07-23,UPDATE: Citigroup Raises PT to $51 on Agilent Technologies as Valuation Moves to 2013 Base,Negative,-1
2012-07-30,Barron's Recap (7/28/12): Financial Advisory Teams are the Future,Positive,1
2012-08-02,Agilent Technologies Expands Wireless Test Portfolio by Completing Acquisition of AT4 Wireless Test ,Negative,-1
2012-08-13,"Jefferies & Company Maintains Agilent Technologies at Buy, Lowers PT from $60 to $58",Positive,1
2012-08-15,Agilent Guides Q4 EPS $0.80-0.82 May Not Compare to $0.93 Est; Guides Q4 Revenue $1.76-1.78B May Not,Positive,1
2012-08-16,"Barclays Maintains Agilent Technologies at Overweight, Lowers PT from $50 to $46",Neutral,0
2012-09-07,Agilent Tech in Pact with Liposcience,Negative,-1
2012-09-10,Agilent Technologies Prices $400 Million of Senior Notes,Positive,1
2012-10-16,"Citigroup Maintains Agilent Technologies at Buy, Lowers PT from $47 to $45",Neutral,0
2012-11-07,"Agilent, Roche Sign Deal for Continued Service to NimbleGen Customers",Negative,-1
2012-11-14,"Agilent Tech Names Ron Nersesian Pres, COO, Says Bill Sullivan to Remain CEO",Positive,1
2012-11-18,Earnings Expectations for the Week of November 19,Positive,1
2012-11-19,"UPDATE: Agilent Posts 47% Rise In FQ4 Profit, Issues Weak Forecast",Neutral,0
2012-11-20,"Barclays Maintains Agilent Technologies at Overweight, Lowers PT from $46 to $40",Neutral,0
2013-01-17,"Agilent Authorizes $500M Buyback, Raises Qtr. Dividend from $0.10 to $0.12/Share",Negative,-1
2013-02-13,"Earnings Scheduled For February 14, 2013",Positive,1
2013-02-14,"Agilent Technologies, Inc. Lowers FY2013 EPS Guidance from $2.80-3.10 to $2.70-3.00 vs $3.04 Est; Lo",Neutral,0
2013-02-15,"UPDATE: J.P. Morgan Reiterates Overweight Rating, Lowers PT on Agilent Technologies on F1Q13 Review",Neutral,0
2013-03-05,UPDATE: Credit Suisse Initiates Agilent Technologies at Outperform; Compelling Valuation on Pullback,Negative,-1
2013-03-06,"Leerink Swann Initiates Coverage on Agilent Technologies, Inc. at Outperform",Negative,-1
2013-03-08,"Bank of America Maintains Buy on Agilent Technologies, Inc., Raises PO to $49.00",Negative,-1
2013-05-10,"The Week Ahead: Full Slate of Economic Data; Earnings From Cisco, Wal-Mart and Deere",Positive,1
2013-05-12,Earnings Expectations for the Week of May 13,Positive,1
2013-05-14,Agilent Expecting to Cut 450 Jobs,Neutral,0
2013-05-15,UPDATE: ISI Group Raises PT on Agilent Technologies on Mixed Factors,Negative,-1
2013-06-03,UPDATE: Jim Cramer Says Danaher Could Pay as Much as $65/Share for Agillent,Positive,1
2013-06-18,Agilent Confirms Senior Notes Offering,Positive,1
2013-06-25,"Goldman Sachs Downgrades Agilent Technologies, Inc. to Neutral, Maintains $47.00 PT",Neutral,0
2013-07-08,Alcoa Q2 Earnings Call Just Beginning,Positive,1
2013-07-09,"Market Wrap for Tuesday, July 9: Major Averages Closing in on Previous Highs",Positive,1
2013-07-12,How to Make Sense of This Ridiculous Market Situation,Positive,1
2013-07-16,"HSBC Reduced 2013 Aluminum Forecast from $2,100 to $1,934/Ton",Neutral,0
2013-07-18,Alcoa Names Roy Harvey Chief Operating Officer for Global Primary Products (GPP); Leigh Ann Fisher N,Positive,1
2013-07-30,"Benzinga Market Primer: Wednesday, July 30: Futures Higher After Asia Turnaround",Negative,-1
2013-07-31,SLIDESHOW: 13 High Beta Stocks to Watch,Positive,1
2013-08-09,Weekly Preview: Earnings Season Wanes As Economic Data Comes Into Focus,Neutral,0
2013-08-11,Earnings Expectations For The Week Of August 12,Positive,1
2013-08-12,"Agilent Technologies, SomaLogic Announce Deal to Expand Access to Proteomic Technology, No Terms Dis",Positive,1
2013-08-14,"Agilent Technologies, Inc. Sees Q4 EPS $0.75-0.77 vs $0.76 Est; Sees Sales $1.70B-1.72B vs $1.73B Es",Negative,-1
2013-08-15,Agilent Technologies Earnings Analysis,Positive,1
2013-08-16,Bank of America Downgrades Alcoa Inc. to Underperform,Neutral,0
2013-08-19,Benzinga's Top Pre-Market Losers,Positive,1
2013-08-29,Alcoa Breaks Ground on $275M Tennessee Auto Expansion,Negative,-1
2013-09-03,"Benzinga Market Primer: Tuesday, September 3: Obama Gambles On Congress Vote For Military Interventi",Positive,1
2013-09-10,"Three Dow Components Booted Tuesday, But Don't Read Too Much Into The Decision (AA, BAC, HPQ)",Positive,1
2013-09-16,"Ahead of Changes, S&P Bullish on Dow ETF",Positive,1
2013-09-17,"Wellington Shields Initiates Coverage on Alcoa Inc. at Buy, Announces $10.00 PT",Positive,1
2013-09-19,"Benzinga's Most Read Stories for September 19, 2013",Positive,1
2013-09-20,"Barclays Maintains Overweight on Agilent Technologies, Inc., Raises PT to $58.00",Negative,-1
2013-09-23,Rebalancing of the Dow Jones and S&P 500 Indices: Not So Balanced In Reality,Positive,1
2013-09-30,How the Stock Market Is Now Priced by the Fed,Positive,1
2013-10-01,"UPDATE: Stifel Downgrades Agilent Technologies on Valuation, Limited Upside",Neutral,0
2013-10-02,Mid-Day Market Update: Global Payments Gains On Upbeat Results; Team Shares Dip,Negative,-1
2013-10-06,Earnings Expectations For The Week Of October 7: A New Earnings Season,Positive,1
2013-10-07,ETF Outlook for the Week of October 7,Positive,1
2013-10-08,From Alcoa Call: Co. On Track to Meet 2013 Goals,Negative,-1
2013-10-09,"Market Wrap for Wednesday, October 9: Yellen Nominated, Markets Closed Mixed",Positive,1
2013-10-14,"Stocks to Watch for October 14, 2013",Positive,1
2013-10-16,"Agilent, Seoul National University Hospital Announce Strategic Collaboration on Biomarker Research",Negative,-1
2013-10-17,"Baird Maintains Outperform on Advance Auto Parts Inc, Raises PT to $108.00",Negative,-1
2013-10-22,Century Aluminum Spikes Higher,Negative,-1
2013-10-23,"Option Alert: Alcoa January 7 Put; 13,755 Contracts Traded @$0.07; Currently $9.07",Positive,1
2013-10-28,"Option Alert: Agilent November 57.5 Call; 1,400 Contracts Traded @$0.09; Currently $51.15",Positive,1
2013-11-04,TD Ameritrade's October IMX Summary,Positive,1
2013-11-05,"#PreMarket Primer: Tuesday, November 5: Fed Speakers Calm Taper Nerves",Positive,1
2013-11-07,Alcoa Comments on LME Board Decision,Positive,1
2013-11-10,Earnings Expectations For The Week Of November 11: Walmart And Other Retailers,Positive,1
2013-11-13,"#PreMarket Primer: Wednesday, November 13: Will Or Won't The Fed Taper?",Positive,1
2013-11-14,"Agilent Technologies, Inc. Sees Q1 EPS $0.65-0.67 vs $0.73 Est; Sees Sales $1.68B-1.70B vs $1.72B Es",Negative,-1
2013-11-15,Mid-Day Market Update: Agilent Shares Rise On Upbeat Earnings; Western Union Drops,Negative,-1
2013-11-19,A Small Cap That is Cashing In on ObamaCare,Negative,-1
2013-11-22,"Agilent Technologies Reports New Buyback Plan, Raises Qtr. Dividend from $0.12 to $0.132/Share",Negative,-1
2013-11-25,"Market Wrap For November 25: Nasdaq Breaks 4,000 Level For First Time Since 2000",Negative,-1
2013-11-26,Fitch Expects Aluminum Producers to Curtail Production Further,Neutral,0
2013-11-27,"Option Alert: Alcoa June 11 Call; 22,400 Contract Trade at Ask @$0.49; Currently $9.76",Positive,1
2013-12-05,"Option Alert: Alcoa June 11 Call; 14,895 Contract Trade at Ask @$0.36; Currently $9.36",Positive,1
2013-12-11,#PreMarket Primer for December 11: US Government Takes First Steps Towards Budget Deal,Negative,-1
2013-12-12,"Bank of America Maintains Buy on Agilent Technologies, Inc., Raises PO to $62.00",Negative,-1
2013-12-13,"Stocks to Watch for December 13, 2013",Positive,1
2013-12-16,Alcoa Signs Long-Term $110M Supply Agreement with Airbus,Negative,-1
2013-12-19,"#PreMarket Primer: Thursday, December 19: Fed Taper Begins",Positive,1
2013-12-20,"#PreMarket Primer: Friday, December 20: Housing And Jobs Data Create A Small Wrinkle In US Outlook",Neutral,0
2013-12-25,Ford Expected to Unveil Aluminum-Bodied F-150,Positive,1
2013-12-26,Benzinga's Top #PreMarket Gainers,Negative,-1
2013-12-31,Can 2013's Market Laggards Become 2014's Leaders?,Positive,1
2014-01-05,Earnings Expectations For The Week Of January 6: Alcoa And More,Positive,1
2014-01-06,UPDATE: Morgan Stanley Reiterates on Agilent Technologies,Positive,1
2014-01-07,UPDATE: Agilent Sees Spin-Off of Keysight in Early Nov.,Positive,1
2014-01-09,Alcoa CEO Kleinfeld: Production US Continues to Go Up; We are Very Positive on US Automotive Industr,Negative,-1
2014-01-10,"Market Wrap For January 10: Job Growth Weak, But Unemployment Falls",Neutral,0
2014-01-15,Alcoa to Permanently Close Remaining Potlines at Massena East Smelter; Sees $0.06 per Share Charge,Neutral,0
2014-01-16,Will Greater Global Car Sales Help Investors Benefit From Alcoa?,Negative,-1
2014-01-17,6 Industry Trends On Display At The 25th North American International Auto Show In Detroit,Positive,1
2014-01-21,"Form 8-K from Alcoa Shows Co. Expecting Restructuring Charges of $60-70M in Q1, or ~$0.06/Share",Neutral,0
2014-01-22,"#PreMarket Primer: Wednesday, January 22: Syrian Peace Talks Kick Off Surrounded By Doubt",Positive,1
2014-01-23,Alcoa Announces Election of Carol Roberts to Board,Positive,1
2014-01-24,Alcoa Shares Falling in the Pre-Market,Neutral,0
2014-01-27,"#PreMarket Primer: Monday, January 27: Markets Open The Week On Edge",Positive,1
2014-01-29,Hearing Vague Unconfirmed Takeover Chatter on Alcoa; ArcelorMittal Frequently Mentioned as Potential,Positive,1
2014-01-31,"DA Davidson Maintains Neutral on Alcoa Inc., Raises PT to $115.00",Negative,-1
2014-02-05,Morgan Stanley Sees Optimistic Outlook for Agilent Technologies,Negative,-1
2014-02-10,TD Ameritrade's Investor Movement Index for Jan. Edges Higher to 5.66,Negative,-1
2014-02-11,"Agilent's Dako, Amgen Expand Deal for Development of New Diagnostic test",Negative,-1
2014-02-13,"Agilent Technologies, Inc. Lowers FY2014 EPS Guidance from $3.03-3.33 to $2.96-3.16 vs $3.19 Est; Lo",Neutral,0
2014-02-14,Mid-Afternoon Market Update: Cray Shows Strength as Agilent Technologies Falls on Earnings,Negative,-1
2014-02-17,Alcoa Announces Closure Point Henry Aluminum Smelter and Rolling Mills in Australia,Neutral,0
2014-02-18,"Market Wrap For February 18: Dow Finishes Lower, Nasdaq Still Hot",Neutral,0
2014-02-19,Alcoa Cannot Wait To Rally...Here's Why,Positive,1
2014-02-25,"Alcoa, Quebec Government Reach Agreement to Secure 3,000 Jobs",Negative,-1
2014-03-06,Market Wrap For March 6: Investors Find Positives In Jobless Claims,Negative,-1
2014-03-10,#PreMarket Primer: Monday March 10: Russia Tightens Its Grip On Crimea,Negative,-1
2014-03-11,"Morgan Stanley Sees Full Valuation, Supportive Factors for Alcoa",Negative,-1
2014-03-14,Market Wrap For March 14: Ukraine Tension Drag Markets Lower,Neutral,0
2014-03-17,US Stock Futures Jump Ahead Of Economic Data,Negative,-1
2014-03-19,"George A. Scangos, Ph.D., of Biogen Idec to Join Agilent Technologies Board of Directors",Positive,1
2014-03-27,Macquarie Upgrades Alcoa Inc. to Neutral,Negative,-1
2014-03-28,Market Wrap For March 28: Markets Still Positive Despite Giving Up Early Gains,Negative,-1
2014-04-01,Market Wrap For April 1: S&P 500 Hitting New All-Time High Not An April Fools' Joke,Negative,-1
2014-04-02,Market Wrap For April 2: Markets On Four-Day Winning Streak,Negative,-1
2014-04-04,Benzinga Weekly Preview: Fed Minutes To Shed Light On The Bank's Future,Positive,1
2014-04-06,Earnings Expectations For The Week Of April 7: New Season Kicks Off,Negative,-1
2014-04-07,"Earning and Economic Calendar for Tuesday April 8, 2014",Positive,1
2014-04-08,"Agilent Technologies Reports Paul Clark, James Cullen Have Been Named to Keysight Board",Positive,1
